ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
NFLX,2026-03-20 19:54:18.620131+00:00,PUT,92.0,2026-04-02,76960,296,597,5547,91.0,REPEATEDHITS,True,False,0,76960,13,BID,
ARKK,2026-03-20 19:54:18.620131+00:00,CALL,80.0,2026-06-18,18426,83,761,1967,68.0,REPEATEDHITS,False,False,18426,0,90,ASK,LONG
NVDA,2026-03-20 19:54:18.620131+00:00,PUT,180.0,2026-03-27,464260,556,6048,18100,172.0,REPEATEDHITS,False,False,0,464260,7,BID,
SPY,2026-03-20 19:54:18.620131+00:00,PUT,640.0,2026-03-31,159400,200,8245,21279,647.0,REPEATEDHITS,False,False,0,159400,11,BID,
ARKK,2026-03-20 19:54:16.011573+00:00,CALL,75.0,2026-06-18,20015,54,148,4367,68.0,REPEATEDHITSASCENDINGFILL,True,False,760,19255,90,BID,
SMH,2026-03-20 19:54:16.011573+00:00,PUT,360.0,2026-04-02,26130,50,347,723,383.0,REPEATEDHITSDESCENDINGFILL,False,False,0,26130,13,BID,
NVDA,2026-03-20 19:54:12.607078+00:00,CALL,250.0,2027-01-15,800045,1000,20964,51744,172.0,REPEATEDHITS,False,False,0,800045,301,BID,
COIN,2026-03-20 19:54:10.802923+00:00,CALL,190.0,2026-03-20,12600,18,1475,2635,196.0,REPEATEDHITS,False,False,12600,0,0,ASK,LONG
TLT,2026-03-20 19:54:10.802923+00:00,CALL,86.0,2026-03-27,16520,236,12007,793,85.0,REPEATEDHITS,False,False,210,16310,7,BID,
VST,2026-03-20 19:54:07.795908+00:00,CALL,145.0,2026-04-17,53550,52,56,156,145.0,REPEATEDHITSDESCENDINGFILL,False,False,52525,1025,28,ASK,LONG
TSLA,2026-03-20 19:54:07.795908+00:00,CALL,880.0,2027-12-17,238650,111,235,339,366.0,REPEATEDHITS,False,False,0,238650,637,BID,
SCO,2026-03-20 19:54:07.795908+00:00,CALL,12.0,2026-04-17,30000,1000,3592,9093,7.0,REPEATEDHITS,False,False,30000,0,28,ASK,LONG
AAPL,2026-03-20 19:54:07.795908+00:00,CALL,300.0,2027-01-15,2604961,2592,4605,39508,247.0,REPEATEDHITS,True,False,1005,2603956,301,BID,
HYG,2026-03-20 19:54:07.795908+00:00,PUT,79.0,2026-04-17,960000,10000,127380,697334,78.0,FLOORTRADELARGECAP,False,True,0,960000,28,BID,
NVDA,2026-03-20 19:54:02.789588+00:00,CALL,250.0,2027-01-15,745430,926,19890,51744,172.0,REPEATEDHITS,False,False,0,736575,301,BID,
SPY,2026-03-20 19:54:02.789588+00:00,CALL,641.0,2026-04-17,184924,83,304,1,647.0,REPEATEDHITS,False,False,0,184924,28,BID,
KRE,2026-03-20 19:54:00.785589+00:00,PUT,71.0,2026-04-17,32110,38,38,170,62.0,REPEATEDHITS,False,False,0,32110,28,BID,
SPY,2026-03-20 19:54:00.785589+00:00,PUT,656.0,2026-03-20,416805,500,62123,13555,647.0,REPEATEDHITSASCENDINGFILL,False,False,0,416805,0,BID,
IWM,2026-03-20 19:53:56.776201+00:00,CALL,244.0,2026-03-24,101151,484,1524,92,241.0,REPEATEDHITS,True,False,101151,0,4,ASK,LONG
SLV,2026-03-20 19:53:56.776201+00:00,CALL,60.0,2026-09-18,31950,30,2316,5865,61.0,REPEATEDHITS,False,False,31950,0,182,ASK,LONG
AAPL,2026-03-20 19:53:56.776201+00:00,CALL,250.0,2026-12-18,280000,100,172,16050,247.0,REPEATEDHITS,False,False,280000,0,273,ASK,LONG
SPXL,2026-03-20 19:53:56.776201+00:00,PUT,187.0,2026-04-02,10530,9,9,0,184.0,REPEATEDHITS,False,False,0,10530,13,BID,
QQQ,2026-03-20 19:53:56.776201+00:00,PUT,550.0,2026-06-18,180424,100,6261,47080,580.0,REPEATEDHITSDESCENDINGFILL,False,False,77658,97357,90,BID,
QQQ,2026-03-20 19:53:56.776201+00:00,PUT,550.0,2026-06-18,245297,136,6161,47080,580.0,REPEATEDHITSDESCENDINGFILL,False,False,135525,109772,90,ASK,SHORT
TSLA,2026-03-20 19:53:52.967391+00:00,CALL,890.0,2027-12-17,241425,111,167,1094,366.0,REPEATEDHITS,False,False,241425,0,637,ASK,LONG
ARKK,2026-03-20 19:53:52.967391+00:00,PUT,79.0,2026-06-18,22230,18,105,110,68.0,REPEATEDHITS,True,False,0,22230,90,BID,
NVDA,2026-03-20 19:53:52.967391+00:00,CALL,250.0,2027-01-15,805000,1000,18964,51744,172.0,REPEATEDHITS,False,False,0,805000,301,BID,
VIAV,2026-03-20 19:53:52.967391+00:00,CALL,35.0,2026-04-17,17800,178,380,1021,31.0,REPEATEDHITS,False,False,17500,300,28,ASK,LONG
TLT,2026-03-20 19:53:52.967391+00:00,CALL,88.0,2026-03-27,11362,874,2546,6410,85.0,REPEATEDHITS,False,False,0,9529,7,BID,
CRWV,2026-03-20 19:53:49.961365+00:00,CALL,87.5,2026-04-17,22919,50,271,2103,80.0,REPEATEDHITSASCENDINGFILL,False,False,0,22919,28,BID,
COIN,2026-03-20 19:53:49.961365+00:00,CALL,190.0,2026-03-20,12600,18,1425,2635,197.0,REPEATEDHITS,False,False,9100,0,0,ASK,LONG
TQQQ,2026-03-20 19:53:49.961365+00:00,CALL,48.0,2026-03-27,113515,4366,46624,3745,42.0,REPEATEDHITS,False,False,97031,16484,7,ASK,LONG
IWM,2026-03-20 19:53:47.355939+00:00,PUT,248.0,2026-03-20,3257056,5085,26205,56843,241.0,REPEATEDHITSASCENDINGFILL,False,False,357120,2899936,0,BID,
COIN,2026-03-20 19:53:47.355939+00:00,CALL,190.0,2026-03-20,12600,18,1407,2635,196.0,REPEATEDHITS,False,False,12600,0,0,ASK,LONG
SMCI,2026-03-20 19:53:45.351166+00:00,PUT,5.0,2027-01-15,47000,1000,2224,10117,20.0,REPEATEDHITS,False,False,42300,4700,301,ASK,SHORT
ARKK,2026-03-20 19:53:45.351166+00:00,PUT,79.0,2026-06-18,88920,72,87,110,68.0,REPEATEDHITS,False,False,0,88920,90,BID,
ALAB,2026-03-20 19:43:53.863635+00:00,PUT,115.0,2026-03-20,22803,400,1874,3918,114.99,REPEATEDHITS,False,False,0,22803,0,BID,
ALAB,2026-03-20 19:41:39.623691+00:00,PUT,100.0,2026-03-27,39433,345,3699,454,114.87,REPEATEDHITSASCENDINGFILL,True,False,39319,114,7,ASK,SHORT
ALAB,2026-03-20 19:40:37.121908+00:00,PUT,100.0,2026-03-27,109334,985,3275,454,115.04,REPEATEDHITS,True,False,71594,37740,7,ASK,SHORT
ALAB,2026-03-20 19:33:42.914531+00:00,PUT,100.0,2026-03-27,11187,113,989,454,115.56,REPEATEDHITS,False,False,11187,0,7,ASK,SHORT
ALAB,2026-03-20 19:33:11.672295+00:00,PUT,100.0,2026-03-27,14874,155,781,454,115.56,REPEATEDHITSASCENDINGFILL,False,False,3287,5155,7,BID,
ALAB,2026-03-20 19:15:21.245612+00:00,CALL,105.0,2026-03-27,28292,23,23,3,115.5192,REPEATEDHITS,False,False,0,28292,7,BID,
ALAB,2026-03-20 18:50:52.850215+00:00,PUT,115.0,2026-03-20,39761,560,1023,3918,115.63,REPEATEDHITS,False,False,72,39689,0,BID,
ALAB,2026-03-20 18:49:17.087639+00:00,PUT,115.0,2026-03-20,12600,140,330,3918,115.46,REPEATEDHITS,False,False,0,12600,0,BID,
ALAB,2026-03-20 18:43:26.919747+00:00,CALL,116.0,2026-03-20,54230,493,1035,17,115.725,REPEATEDHITS,False,False,29810,24420,0,ASK,LONG
ALAB,2026-03-20 18:19:09.906648+00:00,CALL,110.0,2026-03-27,36270,38,41,32,116.93,REPEATEDHITS,False,False,5710,30560,7,BID,
ALAB,2026-03-20 17:59:20.768403+00:00,CALL,120.0,2026-05-15,14900,10,305,441,117.315,REPEATEDHITS,False,False,0,14900,56,BID,
ALAB,2026-03-20 17:57:45.070723+00:00,PUT,124.0,2026-03-20,19500,30,36,42,117.4,REPEATEDHITS,False,False,18850,650,0,ASK,SHORT
ALAB,2026-03-20 17:45:24.648943+00:00,CALL,250.0,2026-12-18,38490,44,44,179,116.85,REPEATEDHITSDESCENDINGFILL,False,False,0,38490,273,BID,
