ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
VSH,2026-04-30 17:48:58.866189+00:00,PUT,25.0,2026-07-17,68045,439,439,14,28.85,REPEATEDHITS,False,False,False,0,68045,394246053.0,78,BID,LONG,0.5
VSH,2026-04-23 16:07:33.468300+00:00,CALL,30.0,2026-05-15,14375,125,1063,79,27.65,REPEATEDHITS,False,False,False,14375,0,394246053.0,22,ASK,LONG,1.0
VSH,2026-04-21 18:01:14.119823+00:00,CALL,25.0,2026-06-18,25864,70,83,3,26.71,REPEATEDHITS,False,False,False,25864,0,394246053.0,58,ASK,LONG,1.0
VSH,2026-04-21 14:40:07.008753+00:00,CALL,25.0,2026-12-18,42210,67,92,64,27.085,REPEATEDHITS,False,False,False,39060,3150,394246053.0,241,ASK,LONG,1.0
VSH,2026-04-15 19:16:11.700770+00:00,CALL,25.0,2026-05-15,28625,229,617,77,23.6,REPEATEDHITS,False,False,False,28625,0,394246053.0,30,ASK,LONG,1.0
VSH,2026-04-15 19:16:01.476810+00:00,CALL,25.0,2026-05-15,30475,265,279,77,23.55,REPEATEDHITS,False,False,False,29900,575,394246053.0,30,ASK,LONG,1.0
VSH,2026-04-09 13:45:19.792171+00:00,CALL,22.5,2026-05-15,99900,999,1000,294,20.805,REPEATEDHITS,False,False,False,0,99900,394246053.0,36,BID,SHORT,0.5
VSH,2026-04-08 19:57:29.004763+00:00,CALL,22.5,2026-05-15,22500,250,289,10,20.51,REPEATEDHITS,False,False,False,22500,0,394246053.0,37,ASK,LONG,1.0
W,2026-05-08 15:48:12.712586+00:00,CALL,67.0,2026-05-08,25984,812,915,216,66.48,REPEATEDHITS,True,False,False,25984,0,7349425031.0,0,ASK,LONG,1.0
W,2026-05-08 13:43:49.008807+00:00,CALL,74.0,2026-05-22,30833,328,2571,119,64.61,REPEATEDHITS,True,False,False,0,21715,7349425031.0,14,BID,SHORT,0.5
W,2026-05-08 13:42:56.696529+00:00,CALL,74.0,2026-05-22,97831,1087,1960,119,64.3225,REPEATEDHITS,True,False,False,78750,3331,7349425031.0,14,ASK,LONG,1.0
