ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SOXS,2026-03-23 16:03:26.503644+00:00,CALL,36.0,2026-03-27,33600,84,189,19,39.24,REPEATEDHITS,False,False,0,33600,4,BID,SHORT,0.5
SOXS,2026-03-23 15:56:55.005174+00:00,CALL,38.0,2026-04-02,316378,1000,6125,18,39.04,REPEATEDHITSDESCENDINGFILL,False,False,0,316378,10,BID,SHORT,0.5
SOXS,2026-03-23 15:26:52.903842+00:00,CALL,34.5,2026-04-10,20291,41,41,0,37.225,REPEATEDHITSASCENDINGFILL,False,False,20291,0,18,ASK,LONG,1.0
SOXS,2026-03-23 14:50:46.804050+00:00,CALL,50.0,2026-05-15,18425,55,129,90,37.105,REPEATEDHITS,True,False,18425,0,53,ASK,LONG,1.0
SOXS,2026-03-23 14:50:46.804050+00:00,CALL,50.0,2026-05-15,17340,51,180,90,37.11,REPEATEDHITS,False,False,17340,0,53,ASK,LONG,1.0
SOXS,2026-03-23 14:45:05.625229+00:00,CALL,35.0,2026-04-02,125552,335,345,21,36.965,REPEATEDHITSDESCENDINGFILL,True,False,125182,370,10,ASK,LONG,1.0
SOXS,2026-03-23 14:44:32.735906+00:00,CALL,65.0,2026-04-24,10120,92,93,14,36.925,REPEATEDHITS,True,False,0,10120,32,BID,SHORT,0.5
SOXS,2026-03-23 14:23:20.140675+00:00,CALL,35.0,2026-05-01,106472,182,182,0,36.35,REPEATEDHITS,False,False,0,106472,39,BID,SHORT,0.5
SOXS,2026-03-23 14:13:59.807943+00:00,CALL,39.0,2026-03-27,11860,100,143,144,36.8599,REPEATEDHITSASCENDINGFILL,False,False,7140,0,4,ASK,LONG,1.0
SOXS,2026-03-23 14:10:30.875467+00:00,CALL,38.0,2026-04-02,263244,1000,3764,18,37.155,REPEATEDHITSASCENDINGFILL,False,False,263244,0,10,ASK,LONG,1.0
SOXS,2026-03-20 19:52:32.224918+00:00,CALL,42.0,2026-03-27,68475,249,591,77,41.5,REPEATEDHITS,False,False,0,68200,7,BID,SHORT,0.5
SOXS,2026-03-20 19:44:37.571848+00:00,CALL,44.0,2026-04-17,80580,158,304,196,41.65,REPEATEDHITS,True,False,0,80580,28,BID,SHORT,0.5
SOXS,2026-03-20 19:44:37.571848+00:00,CALL,43.0,2026-04-17,28080,52,54,13,41.65,REPEATEDHITS,False,False,0,28080,28,BID,SHORT,0.5
SOXS,2026-03-20 18:59:03.462825+00:00,CALL,42.0,2026-04-10,191575,395,421,20,41.7489,REPEATEDHITS,False,False,2425,189150,21,BID,SHORT,0.5
SOXS,2026-03-20 18:22:20.763827+00:00,CALL,40.0,2026-04-17,17978,29,203,169,41.36,REPEATEDHITS,True,False,17978,0,28,ASK,LONG,1.0
SOXS,2026-03-20 17:33:53.362581+00:00,CALL,40.0,2026-04-17,25960,44,172,169,40.97,REPEATEDHITS,True,False,25960,0,28,ASK,LONG,1.0
SOXS,2026-03-20 17:05:22.779644+00:00,CALL,39.0,2026-04-17,19800,33,103,104,40.29,REPEATEDHITS,False,False,19800,0,28,ASK,LONG,1.0
SOXS,2026-03-20 16:56:22.955872+00:00,CALL,65.0,2026-08-21,31450,37,133,303,40.175,REPEATEDHITS,False,False,0,27200,154,BID,SHORT,0.5
