ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
META,LONG,0.2884073832794022,2.884073832794022,0,1.7304,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1.2407706847381037,3.0,1.0,1.0374211620878524,0.0,0.0,137672.65556151207,265413.23927582166,0.335698,0.124048,1.0,1.0,0.435903,0.0
KOD,LONG,0.28719414079580524,2.8719414079580523,0,1.7232,error: No OHLCV data returned for ticker=KOD,none,none,,,unknown,,,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.0,0.0,42684.063083366804,0.0,5.578947,,0.0,0.0,0.0,0.0
RDDT,LONG,0.28382110125302346,2.8382110125302344,0,1.7029,error: No OHLCV data returned for ticker=RDDT,none,none,,,unknown,,,,,,,,,,,,,,,749.5333152261338,2.0,1.0,99.0,0.0,0.0,46285.178217830886,0.0,0.37903,,0.0,0.0,0.002661,0.0
HIMS,LONG,0.27616672476190474,2.761667247619047,0,1.657,error: No OHLCV data returned for ticker=HIMS,none,none,,,unknown,,,,,,,,,,,,,,,22.01410470052449,3.0,1.0,0.04542542218290507,0.0,0.0,479.10836846818574,21094.283572712215,1.754022,0.508577,0.0,0.0,0.206289,0.0
GLD,LONG,0.27015618498291327,2.7015618498291327,0,1.6209,error: No OHLCV data returned for ticker=GLD,none,none,,,unknown,,,,,,,,,,,,,,,0.34024053257272385,9.0,1.0,2.9953843851116186,0.0,0.0,385851.59151594725,103052.30765942423,0.407091,0.332948,1.0,1.0,0.140774,0.56845
LUNR,LONG,0.25544788654793404,2.55447886547934,0,1.5327,error: No OHLCV data returned for ticker=LUNR,none,none,,,unknown,,,,,,,,,,,,,,,202.995358080138,2.0,1.0,99.0,0.0,0.0,31975.27464668692,78.75863504736843,0.166667,0.143982,0.0,1.0,0.0,0.0
EEM,LONG,0.2526703769243183,2.5267037692431833,0,1.516,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,30.010341334538445,7.0,1.0,0.07604392200284942,0.0,0.0,9855.036026561873,172795.5067194386,0.01028,0.018558,0.0,0.0,0.17114,0.465255
CRWV,LONG,0.24879586666666667,2.4879586666666667,0,1.4928,error: No OHLCV data returned for ticker=CRWV,none,none,,,unknown,,,,,,,,,,,,,,,0.0,3.0,1.0,99.0,0.0,0.0,631848.7235417209,0.0,0.54742,,0.0,0.0,0.369976,0.0
HII,SHORT,0.6038533128841496,6.038533128841496,0,3.6231,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3.4055713548497293,14.0,1.0,0.6900285898888103,0.0,0.0,79360.62268340464,86257.97232857333,2.655894,2.789836,0.0,5.0,0.782224,0.307588
OXY,SHORT,0.5386273143996066,5.386273143996067,0,3.2318,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,644.0541806245654,27.0,1.0,4.581471847170822,0.0,0.0,50096.336428125716,25969.558034121957,5.648963,11.353,3.0,1.0,0.484931,0.601279
IREN,SHORT,0.5347063571428571,5.347063571428571,0,3.2082,error: No OHLCV data returned for ticker=IREN,none,none,,,unknown,,,,,,,,,,,,,,,3.603678664648903,6.0,1.0,0.16125338836065023,0.0,0.0,69740.89794539042,216246.3023394332,18.72327,40.778653,2.0,0.0,0.444706,0.305889
