ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
JPM,SHORT,0.41583877798161123,4.158387779816112,0.0,2.495,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,188660.4254410318,19.0,1.0,5.542677735424209,0.000852,0.000366,41483.9201778395,12830.493694217337,1.102401,0.131431,2.0,2.0,0.524959,0.481184
SOXS,SHORT,0.4005894650385659,4.005894650385659,6.19,4.4799,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",confirmation_volume,3.1,NEUTRAL,retest_and_confirm,,,38.0,37.0,1.14,1.52,19354.0,10915.0,0.564,22719.0,4095.0,3455.0,1.72,0.84,0.39,1.4,1.59,0.25,1728.7142552243097,4.0,1.0,0.00016087617116657653,3.1e-05,0.000118,0.6310357240543042,1307.4978091916191,1.328358,4.144673,1.0,1.0,0.0,0.446788
WPM,SHORT,0.39817791186966045,3.9817791186966045,0.0,2.3891,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,446.53888655846987,4.0,1.0,0.2871475695845126,0.000701,0.000307,0.07536447023238452,0.2624590218243286,0.309852,3.714895,0.0,0.0,0.249192,0.005099
AAPL,SHORT,0.3965543777700989,3.9655437777009888,0.0,2.3793,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,7.647832997877381,27.0,1.0,2.645295679368861,0.000301,0.000123,28616.95820769134,18390.69610724286,1.954044,0.160513,2.0,0.0,0.547046,0.592735
GM,SHORT,0.39287917619886903,3.9287917619886903,4.67,4.4054,price_validation_failed,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.2,POSITIVE,ema_rally,8104914.08,76.39,80.0,60.0,4.75,21.43,189271.0,135468.0,0.716,62954.0,121905.0,139880.0,1.82,0.89,0.54,1.2,0.2,0.02,56054.626407078234,2.0,1.0,0.0,0.0,0.001426,0.0,498.16175266776304,,1.211416,0.0,0.0,0.0,3.6e-05
FIVE,SHORT,0.3899351152881544,3.899351152881544,0.0,2.3396,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.43,0.0,0.0,0.0,0.0,569.2936545489187,3.0,1.0,0.0549010544092243,0.000602,0.002935,0.013987230608013605,0.5095432413284767,1385.867198,0.47344,0.0,0.0,0.017723,0.0
APP,SHORT,0.3808783045801207,3.808783045801207,0.0,2.2853,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,515061.063908355,7.0,1.0,99.0,7.5e-05,0.00011,16011.845418497187,0.8540419695066784,2.082784,15.740268,1.0,0.0,1e-06,0.386236
NET,SHORT,0.37926720430833716,3.7926720430833716,0.0,2.2756,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,35.52252254609603,12.0,1.0,33.387920882578904,0.001614,0.000836,0.19217968017250164,0.011511928571316154,0.872774,0.694534,1.0,0.0,0.040951,0.498509
ONON,SHORT,0.3791068706193271,3.7910687061932706,4.99,4.8925,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",7.5,NEUTRAL,trend_continuation,,,52.5,35.0,32.44,11.71,123924.0,78822.0,0.636,42459.0,42956.0,117331.0,2.19,0.61,0.24,1.4,0.55,0.0,0.40124034819382903,3.0,1.0,0.0,0.0,0.001249,0.0,0.0048635453248520606,,2.44381,0.0,0.0,0.0,0.395125
IGV,SHORT,0.37807969561364474,3.7807969561364474,7.64,5.3624,"wall_proximity (1.2%, 0.4 ATR to put wall)","confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakdown, trend_aligned",none,5.9,NEGATIVE,structural_breakdown,-32550469.8,80.99,90.0,80.0,11.15,1.2,533748.0,450078.0,0.843,248894.0,334509.0,400423.0,1.76,0.65,1.0,2.0,1.89,0.34,2.320638369238064,4.0,1.0,0.0,0.0,0.000186,0.0,74345.78243439936,,0.06738,0.0,1.0,0.0,0.627105
