ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi
CBRE,SHORT,0.31392301483650564,3.1392301483650566,5.84,4.1416,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.1,NEUTRAL,ema_rally,,,150.0,130.0,12.23,2.74,6242.0,3954.0,0.633,3004.0,2775.0,4417.0,2.58,0.53,0.43,1.2,1.1,0.0,0.0,1.0,1.0,0.0,0.0,0.000139,0.0,43188.15098322106,,0.0,1.0,0.0,0.0,317.0
OXY,LONG,0.582011594106492,5.82011594106492,0.0,3.4921,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,442.36819043559234,29.0,1.0,3.5577142185031976,0.005699,0.000187,6670.320410384384,25311.005890201814,0.396722,0.0,0.0,0.384099,0.000759,0.358177
TRP,LONG,0.45939977212239846,4.593997721223984,5.71,5.69,watchlist_reeval_failed,"momentum_aligned, not_extended, support_ema_confluence, trend_aligned","confirmation_volume, room_to_target",8.4,NEUTRAL,support_ema_confluence,,,67.5,60.0,5.55,6.18,13922.0,4382.0,0.315,3694.0,9972.0,4638.0,2.14,0.76,0.0,1.6,1.2,0.0,1.5029026822439449,2.0,1.0,99.0,0.00148,0.0,1.587994863944063,0.0,10.714286,0.0,0.0,0.399536,0.0,
NEM,SHORT,0.7059725424723331,7.0597254247233305,0.0,4.2358,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,102025.54825829412,19.0,1.0,0.000260295239061067,0.000598,0.001057,18.91482777038621,42388.979424002144,1.109511,2.0,2.0,0.587862,0.21995,16.693314
DDOG,SHORT,0.4248181136194443,4.248181136194443,6.73,5.4031,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,6.3,NEUTRAL,resistance_ema_confluence,,,140.0,95.0,13.2,23.18,107686.0,109703.0,1.019,79213.0,58874.0,79302.0,1.59,0.94,0.89,1.6,1.67,0.03,7421375.334999899,3.0,1.0,0.0,0.0,0.000436,0.0,57985.9239601191,10.282051,0.0,0.0,0.0,0.445388,0.795519
CELH,SHORT,0.37491483965829975,3.7491483965829975,0.0,2.2495,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,206947.28744048884,4.0,1.0,99.0,0.000447,0.001192,8222.436422055605,0.1848794763799918,1.829628,3.0,0.0,0.000333,0.0,1.348387
HLT,SHORT,0.36030681396994846,3.6030681396994844,5.56,4.8495,watchlist_reeval_failed,"momentum_aligned, not_extended, resistance_ema_confluence, room_to_target, trend_aligned",confirmation_volume,6.9,NEUTRAL,resistance_ema_confluence,,,300.0,250.0,0.15,16.54,26412.0,19252.0,0.729,10742.0,20253.0,14669.0,1.84,0.93,0.39,1.6,0.8,0.0,3570372.384018873,3.0,1.0,2.800828295883195e-07,4.8e-05,0.00023,0.030342689175887227,54167.349745228064,1.115385,0.0,1.0,0.0,0.286083,0.594059
EEM,SHORT,0.3422366196606348,3.422366196606348,5.23,5.2402,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,9.8,NEGATIVE,ema_rally,-179800332.15,,65.0,50.0,14.72,11.75,2339331.0,3272772.0,1.399,1582748.0,2496297.0,1533058.0,1.82,0.48,0.4,1.2,1.24,0.09,1.316296391102867,8.0,1.0,0.30163041624585146,7.2e-05,0.000205,32895.73644203137,109059.74553713067,0.225524,1.0,0.0,0.643254,0.621954,0.166175
CORZ,SHORT,0.3302495981318452,3.302495981318452,4.67,3.9122,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",4.3,POSITIVE,ema_rally,7404879.8,16.65,25.0,12.0,49.88,28.06,896588.0,503413.0,0.561,522225.0,521824.0,355952.0,1.51,0.91,0.61,1.2,0.44,0.0,59136.16190595052,2.0,1.0,0.0,0.0,0.000429,0.0,12370.90048062971,,0.0,2.0,0.0,1.7e-05,0.149878
INTU,LONG,0.3412608909934392,3.412608909934392,0.0,2.0476,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.74,0.0,0.0,0.0,0.0,238.7015112909745,7.0,1.0,99.0,0.000596,9.9e-05,2.2920482671083033,0.02038560441286084,0.267671,2.0,0.0,0.011449,0.073913,1.262745
ENVA,SHORT,0.41818008965226966,4.181800896522697,4.68,5.1549,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",8.3,NEUTRAL,ema_rally,,,140.0,130.0,1.11,6.11,923.0,6144.0,6.657,432.0,6421.0,214.0,1.77,0.9,0.11,1.2,0.71,0.0,0.0,1.0,1.0,0.0,0.0,0.003119,0.0,105986.47222549158,,0.0,0.0,0.0,0.0,0.992063
QCOM,SHORT,0.3690739923609823,3.690739923609823,5.62,4.9514,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",7.1,NEGATIVE,ema_rally,-15513588.56,,160.0,125.0,24.37,2.84,255782.0,221560.0,0.866,101552.0,130834.0,244956.0,2.51,0.31,0.0,1.2,1.6,0.0,435613.27064049925,15.0,1.0,99.0,0.000249,0.000465,4950.239081138486,2.159050994190695,0.174736,4.0,1.0,3.1e-05,0.143066,0.276654
