ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_pattern_vol,price_pattern_candle,price_momentum,price_confirm_vol
DAL,SHORT,0.5105548161671066,5.1055481616710665,5.83,5.8418,price_validation_failed,"not_extended, pattern_volume, retest_and_confirm, room_to_target, trend_aligned","bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, pullback_to_resistance, structural_breakdown, trend_continuation",7.7,NEGATIVE,unknown,-9121908.55,,70.0,60.0,10.34,5.42,534488.0,384540.0,0.719,332919.0,201759.0,168535.0,1.66,0.96,0.93,1.4,0.11,0.0,0.52,0.24
CMG,SHORT,0.5074469337506415,5.074469337506415,4.98,5.7712,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, pattern_volume, trend_aligned","flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown, trend_continuation",8.7,NEGATIVE,bounce_and_fail,-20873567.94,,40.0,27.5,19.87,17.59,549899.0,495953.0,0.902,118249.0,270210.0,385496.0,1.74,0.39,0.12,1.0,0.17,0.0,0.9,0.66
BA,SHORT,0.5070463206350906,5.070463206350906,0.0,3.0423,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GLNG,SHORT,0.5015757964129485,5.0157579641294845,0.0,3.0095,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GPRE,SHORT,0.49324469314955016,4.932446931495502,0.0,2.9595,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
ULTA,SHORT,0.47294632468686065,4.729463246868606,0.0,2.8377,price_over_extended,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSAT,SHORT,0.46963623177841624,4.696362317784162,0.0,2.8178,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
NEXT,SHORT,0.4604792466666667,4.604792466666667,0.0,2.7629,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKLB,SHORT,0.45069091778936693,4.506909177893669,0.0,2.7041,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
LVS,SHORT,0.4389491241567581,4.389491241567581,6.01,5.4777,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, trend_aligned","bounce_and_fail, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_continuation",7.4,NEUTRAL,flag_breakdown,,,55.0,45.0,3.91,14.98,127311.0,69565.0,0.546,18544.0,62143.0,35612.0,1.61,0.45,0.09,1.6,0.0,0.24,1.25,0.76
ZS,SHORT,0.43405804217662486,4.340580421766249,5.83,5.3393,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target, trend_aligned","bounce_and_fail, pattern_volume, pullback_to_resistance, structural_breakdown, trend_continuation",7.1,NEUTRAL,flag_breakdown,,,200.0,120.0,32.04,20.78,92538.0,70945.0,0.767,20848.0,37664.0,61430.0,1.81,0.56,0.3,1.6,0.0,0.0,1.15,0.41
AAP,SHORT,0.43,4.3,0.0,2.58,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
