ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
IGV,374750.63929413527,64840.752200182724,2,1,504432.14369450073,3,62.0,2.075285,1.577266,3.071322,3,1,1,138818.57071911127,64840.752200182724,235932.068575024,64840.752200182724,2,1,1.1380397617888744,417180.0,72165.0,309909.88709395257,LONG,187375.31964706763,64840.752200182724,0.370429,0.0,5.7795541627458045,1.0,11629265141.0,3.6e-05,6e-06,0.1611239552759524,0.05575653441039962,0.37206226186737534,0.29795035676339254
INFQ,119.8589023978928,173.29019842955398,1,1,586.2982016548935,2,61.5,0.857978,1.651671,0.064284,2,0,0,0.0,0.0,119.8589023978928,173.29019842955398,1,1,1.4457849601716404,25000.0,26251.0,-53.43129603166118,SHORT,119.8589023978928,173.29019842955398,0.0,0.0,0.6916657923189921,1.0,3370467903.0,7e-06,8e-06,0.0003556150239294915,0.0005141428532083369,0.20286795848383826,0.1371716927595386
INTC,729809.3112405085,357123.84603352216,4,5,1381162.0580111584,9,65.666667,0.086759,0.099303,0.081741,9,1,0,329811.1690028486,0.0,329811.1690028486,113369.50866030107,4,5,5.688671686290541,1464613.0,1061742.0,372685.4652069863,LONG,182452.3278101271,71424.76920670443,0.548086,0.682548,2.0435748532233364,1.0,342157500000.0,4e-06,3e-06,0.00533240767220146,0.0020874822035672,0.2753408229247361,0.28211916888848565
IONQ,10591.396705297175,1939.2261156970724,1,1,25061.245641988495,2,63.0,0.108117,0.130148,0.086085,2,0,0,0.0,0.0,10591.396705297175,1939.2261156970724,1,1,5.461661546100828,148994.0,30750.0,8652.170589600102,LONG,10591.396705297175,1939.2261156970724,0.0,0.0,5.461661546100828,1.0,16381508978.0,9e-06,2e-06,0.0064654585359146,0.0011837896730401392,0.20843939476819562,0.18360521877671135
IREN,133670.6597166407,68490.84610024668,1,1,270652.351917134,2,76.5,0.115674,0.193252,0.038096,2,0,0,0.0,0.0,133670.6597166407,68490.84610024668,1,1,0.9758286495759851,138470.0,71076.5,65179.81361639401,LONG,133670.6597166407,68490.84610024668,0.0,0.0,1.9516572991519703,1.0,15849774269.0,9e-06,4e-06,0.08433600217138883,0.043212505703759736,0.14863816715375952,0.11697404555264249
IWM,587230.862855967,145435.42470458546,7,2,1201378.4882242358,9,72.666667,0.965026,1.222328,0.064469,9,4,0,340084.2674199806,0.0,121961.04441389872,125025.5267088746,7,2,1.4373832832925633,710949.0,305106.0,441795.43815138156,LONG,83890.12326513814,72717.71235229273,0.792312,0.140336,4.037742964265927,1.0,75780667582.0,9e-06,4e-06,0.011070121964069944,0.009595813110726038,0.3652262431870606,0.14092080716506705
JBHT,4.541303189824507e-05,0.0,1,0,4.541303189824507e-05,1,70.0,1.487179,1.487179,,1,0,0,0.0,0.0,4.541303189824507e-05,0.0,1,0,0.0,177428.0,0.0,4.541303189824507e-05,LONG,4.541303189824507e-05,0.0,0.0,0.0,99.0,1.0,22546045061.0,8e-06,0.0,2.0142349478756357e-11,0.0,0.13375175115210086,0.05
JBLU,424.3790979312818,0.0,2,0,424.3790979312818,2,66.5,0.115952,0.115952,,2,0,0,0.0,0.0,424.37892576186573,0.0,2,0,2464891.473743882,119850.0,0.0,424.3790979312818,LONG,212.1895489656409,0.0,0.0,0.0,99.0,1.0,2039359371.0,5.9e-05,0.0,0.001040471591142829,0.0,0.3593849206517367,0.18
JNUG,5.2744544480345556e-06,11.9113654279613,5,4,23.82273613037705,9,59.666667,7.880162,9.674722,0.701923,9,1,1,4.5914535073827285e-06,11.9113654279613,4.5914535073827285e-06,11.9113654279613,5,4,6.5262512749974264e+16,885550.0,514350.0,-11.911360153506852,SHORT,1.0548908896069111e-06,2.977841356990325,0.129492,0.0,4.4280854952640886e-07,1.0,583444719.0,0.001518,0.000882,1.8080391427913688e-11,5.103896324735309e-05,0.6479399047619048,0.49461538
KORU,572.5333248894665,71.57196012394427,27,3,1288.2105700268216,30,39.533333,98.436008,109.615723,25.767857,30,24,1,331.05669133317895,44.25892689490965,212.01781303740825,44.25892689490965,27,3,90068788.84386009,4254363.0,470549.0,500.9613647655222,LONG,21.204937958869127,23.857320041314754,0.629685,0.381616,7.999408202569634,1.0,1561734356.0,0.002724,0.000301,0.000135778135874403,0.0001527617033566415,0.8378346428571429,0.6392820952380953
LCID,16167.124807611714,288.3143689932264,3,1,16743.753545598167,4,77.5,2.595626,3.239116,0.665159,4,0,0,0.0,0.0,15551.760949730477,288.3143689932264,3,1,27.98931842935843,438716.0,56187.5,15878.810438618488,LONG,5389.041602537238,288.3143689932264,0.038063,0.0,56.07464124686599,1.0,2523168671.0,0.000174,2.2e-05,0.021358229691403923,0.001142667837893531,0.6127141206610289,0.2590332954641359
LITE,3661944.0576298404,147481.09072343647,4,2,3956906.2390767136,6,67.666667,2.506754,3.584285,0.35169,6,0,0,0.0,0.0,1894584.8877076753,94392.21187917153,4,2,19.188139433804913,5595357.0,726250.0,3514462.966906404,LONG,915486.0144074601,73740.54536171824,0.482629,0.359971,24.82992253221731,1.0,63633108000.0,8.8e-05,1.1e-05,0.14386944833929222,0.011588392847590948,0.673166858826045,0.24889712965799365
LNG,68393.42583469194,28023.818612788626,11,12,124494.68015006563,23,67.347826,0.393477,0.464996,0.327918,23,2,1,9.31018877223783e-15,6.162150945280483e-15,68339.80874023675,28012.45173249095,11,12,2.401264495946912e+18,912733.0,773514.0,40369.60722190331,LONG,6217.584166790176,2335.3182177323856,0.000784,0.000406,2.4405462645793996,1.0,55228705479.0,1.7e-05,1.4e-05,0.0011257885030737016,0.00042284500378527974,0.37881077870148655,0.3568056534896208
LQDA,7.214658147821883e-08,289.5102170651608,3,2,579.0204342746148,5,77.8,0.473668,0.622518,0.250393,5,0,1,0.0,3.330436325935603e-15,7.21465729767972e-08,289.5102170651608,3,2,5.6098899281015224e+16,192100.0,108303.5,-289.51021699301424,SHORT,2.404886049273961e-08,144.7551085325804,0.0,0.0,2.4920219469139017e-10,1.0,3647937361.0,5.3e-05,3e-05,6.592454341416421e-14,0.0003968135804089,0.3659934930161365,0.29819834267239026
