ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
FSLR,0.0,1.629852483157361,0,1,3.259704966314722,1,92.0,0.183849,,0.183849,1,0,0,0.0,0.0,0.0,1.629852483157361,0,1,0.0,0.0,47784.0,-1.629852483157361,SHORT,0.0,1.629852483157361,0.0,0.0,0.0,0.7,479420666.84467167,0.0,0.0001,0.02857142857142857,0.02857142857142857
GDX,0.0,9405.602973060186,0,2,10355.016429221989,2,73.0,0.507416,,0.507416,2,0,1,0.0,949.4134561618026,0.0,8456.189516898383,0,2,4.4533756405161204,0.0,1072261.0,-9405.602973060186,SHORT,0.0,4702.801486530093,0.0,0.100941,0.0,1.0,2279809350.173809,0.0,0.00047,0.18,0.287190133733493
GDXJ,0.0,29.51492795824483,0,1,29.51492795824483,1,57.0,1.910714,,1.910714,1,0,0,0.0,0.0,0.0,29.51492795824483,0,1,0.0,0.0,67665.0,-29.51492795824483,SHORT,0.0,29.51492795824483,0.0,0.0,0.0,1.0,615032882.8437424,0.0,0.00011,0.05,0.13840904934202547
GLNG,3033.2345535794957,2617.8172365969153,4,8,8268.869026773327,12,87.166667,7.421904,20.516249,0.874732,12,1,4,1080.071517911986,1521.7322966229092,1080.071517911986,451.76067559823764,4,8,1.0485589812761211,462206.0,352372.5,415.41731698258036,LONG,758.3086383948739,327.2271545746144,0.643921,0.827428,1.1586884336977668,1.0,156350828.99401626,0.002956,0.002254,0.5472564443294653,0.5015757964129485
GLXY,813.1997968742296,387.6585801279666,3,2,1558.3837133135678,5,90.4,0.573542,0.594733,0.541756,5,0,0,0.0,0.0,397.95375766790147,357.52533631137163,3,2,27.760265475136666,176040.0,128487.0,425.541216746263,LONG,271.06659895807655,193.8292900639833,0.510632,0.077731,2.09772165137114,0.7,108280552.2076623,0.001626,0.001187,0.3866205215788709,0.3181224314583622
GOOG,26.064238452748015,5453.825491392652,4,7,7932.757848698281,11,70.818182,0.236313,0.308006,0.195345,11,1,1,0.7566173990089127,2735.2644518540787,23.07358611431008,2735.2644518540787,4,7,29.91304012541669,1224525.0,1544347.0,-5427.761252939904,SHORT,6.516059613187004,779.1179273418074,0.114742,0.498469,0.00477907452188985,1.0,5730693793.067783,0.000214,0.000269,0.2683724198669805,0.34824055913110763
GPRE,3.0910424183331715,0.11906633342337906,2,1,3.3291750851799295,3,30.666667,81.911476,54.567214,136.6,3,0,1,0.0,0.11906633342337906,1.628218460096818,0.11906633342337906,2,1,1.2758549081966999,1129500.0,85452.5,2.9719760849097923,LONG,1.5455212091665858,0.11906633342337906,0.473246,0.0,25.960675276208978,1.0,23663661.675,0.047731,0.003611,0.5452808079266189,0.49324469314955016
GS,660.8736422067028,1258.3071660855996,5,3,2580.0544504990053,8,63.5,0.29626,0.302573,0.285739,8,2,2,293.3938047093986,10.770545597532745,341.7997033585226,1247.536620488067,5,3,67.88643120575847,200730.0,457313.0,-597.4335238788968,SHORT,132.17472844134056,419.43572202853323,0.482806,0.00856,0.525208518252804,1.0,2116556846.8655272,9.5e-05,0.000216,0.2856766190476191,0.2669761959851131
HD,278.33445928936703,418.8518629721892,6,3,1333.9880045245372,9,67.222222,2.122374,1.805253,2.756615,9,1,0,0.002427273150379469,0.0,237.39102490469625,201.53624553408252,6,3,54.680219279113125,876129.5,184907.5,-140.5174036828222,SHORT,46.38907654822784,139.61728765739642,0.147102,0.518836,0.6645176586163299,1.0,1392923174.025,0.000629,0.000133,0.44068301301274854,0.3837692667954338
HIMS,0.0,599.4006385548508,0,1,599.4006385548508,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,599.4006385548508,0,1,0.0,0.0,109060.0,-599.4006385548508,SHORT,0.0,599.4006385548508,0.0,0.0,0.0,0.7,1103238451.7217174,0.0,9.9e-05,0.02857142857142857,0.03656714857142857
HOOD,0.09642968448077568,701.9307197430595,1,4,702.1008786278595,5,49.6,0.357802,0.957845,0.207791,5,0,0,0.0,0.0,0.09642968448077568,688.2751600148904,1,4,132.6258723160386,50232.0,696300.0,-701.8342900585787,SHORT,0.09642968448077568,175.48267993576488,0.0,0.019454,0.00013737778069618266,1.0,1916649833.3274515,2.6e-05,0.000363,0.2074707,0.28479569521460424
HPQ,0.0,0.01745675022414293,0,1,0.01745675022414293,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,0.01745675022414293,0,1,0.0,0.0,178794.0,-0.01745675022414293,SHORT,0.0,0.01745675022414293,0.0,0.0,0.0,1.0,358721314.5704355,0.0,0.000498,0.05,0.16450462063509064
INTC,1263.943559564282,977.479281122472,2,1,2891.321051040781,3,90.0,0.133618,0.089713,0.221429,3,0,0,0.0,0.0,649.8982103540274,977.479281122472,2,1,3.708644165710906,198740.0,175700.0,286.46427844180994,LONG,631.971779782141,977.479281122472,0.485817,0.0,1.2930642970896054,1.0,3691174030.0204453,5.4e-05,4.8e-05,0.22089169047619048,0.18
IONQ,570.3522067166302,0.0,4,0,570.3892917126881,4,44.25,1.811179,1.811179,,4,0,0,0.0,0.0,564.2593049575611,0.0,4,0,3385.7395314431883,2105999.0,0.0,570.3522067166302,LONG,142.58805167915756,0.0,0.010683,0.0,99.0,1.0,738677694.4230238,0.002851,0.0,0.5064392826440021,0.18
ISRG,1289.371761872164,2854.5669688239504,2,2,6999.8419867631,4,60.25,0.47408,0.517272,0.430888,4,0,1,0.0,2854.513864642543,1288.0354746291287,2854.513864642543,2,2,2518.0316650942823,226700.0,487520.0,-1565.1952069517865,SHORT,644.685880936082,1427.2834844119752,0.001036,1.9e-05,0.45168734030554925,1.0,799620224.222676,0.000284,0.00061,0.24472392558315698,0.30363152650072195
IWM,0.0,2237.5371879806826,0,1,2237.5371879806826,1,56.0,0.517895,,0.517895,1,0,1,0.0,2237.5371879806826,0.0,2237.5371879806826,0,1,0.0,0.0,217919.0,-2237.5371879806826,SHORT,0.0,2237.5371879806826,0.0,0.0,0.0,1.0,12309687908.195473,0.0,1.8e-05,0.05,0.06357370000000001
