ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
C,72977.60681284417,36569.95786432399,5,6,204027.80063834426,11,72.090909,0.739174,1.453871,0.143592,11,1,2,68032.29276780323,13071.662132948833,68032.29276780323,15038.053688464528,5,6,150.7403153916169,539692.0,620134.5,36407.64894852018,LONG,14595.521362568834,6094.992977387331,0.067765,0.588787,1.9955616870983013,1.0,196640949802.0,3e-06,3e-06,3.5379888007903695,0.32180668574474613,0.3537988800790369,none,none
XLE,519139.5795396504,114142.05890477881,7,2,826689.444346553,9,81.888889,0.144408,0.145991,0.138871,9,0,0,0.0,0.0,261088.48146193157,69664.19227218267,7,2,1.7754306770059263,614663.5,141800.0,404997.5206348716,LONG,74162.79707709291,57071.029452389404,0.497075,0.389671,4.5481883235761,1.0,61.535482,0.0,0.0,3.449563640093573,0.25996532443597176,0.3449563640093573,none,not_extended
XLV,1909.7698841311358,258.5393502581886,2,1,4078.0791185204603,3,69.0,54.354865,81.519314,0.025966,3,0,1,0.0,258.5393502581886,1899.3357151105508,258.5393502581886,2,1,194.41944885477025,77670.0,88200.0,1651.230533872947,LONG,954.8849420655679,258.5393502581886,0.005464,0.0,7.3867667812422235,1.0,145.742962,0.0,0.0,3.433333333333333,0.1925,0.3433333333333333,none,none
ASTS,176651.92914076857,78226.89282396951,1,2,333105.71478870756,3,55.666667,0.604458,0.148219,0.832578,3,0,1,0.0,45188.722331382756,176651.92914076857,45188.722331382756,1,2,2.685717338343196,259050.0,102465.0,98425.03631679906,LONG,176651.92914076857,39113.446411984754,0.0,0.422338,2.2581994856715135,1.0,25711090247.0,1e-05,4e-06,3.425685818348713,0.3295458262124562,0.34256858183487127,none,trend_aligned
LITE,138941.58795021963,39676.46482113476,4,3,311410.3863730194,7,52.714286,3.353269,0.778935,6.785714,7,0,0,0.0,0.0,123674.22803372248,30558.359253192226,4,3,5.382070461731719,358210.0,877930.0,99265.12312908488,LONG,34735.39698755491,13225.488273711586,0.109883,0.229811,3.501864104490695,1.0,49180320000.0,7e-06,1.8e-05,3.3737373519494005,0.4624139679115971,0.33737373519494007,none,none
UBER,160411.82036475718,1649.096018337935,4,1,322453.5149358965,5,74.2,0.582315,0.113649,2.456979,5,0,0,0.0,0.0,121369.76148911497,1649.096018337935,4,1,16774.396392277526,444590.0,610375.0,158762.72434641924,LONG,40102.955091189295,1649.096018337935,0.243386,0.0,97.2725775703652,1.0,145200082601.0,3e-06,4e-06,3.2207482575731032,0.3081295557453726,0.32207482575731033,none,none
COIN,115533.74084373977,3819473.5193382152,3,5,4095681.864077213,8,65.375,1.196376,0.39356,1.678066,8,0,1,0.0,948014.5297397549,45410.897957346584,1641254.769812994,3,5,2.694386785302379,132025.0,4113727.0,-3703939.7784944754,SHORT,38511.246947913256,763894.703867643,0.606947,0.570293,0.030248603703831367,1.0,38670896780.0,3e-06,0.000106,3.1982002157627054,0.7368664111726269,0.31982002157627054,none,none
YPF,3028.851365110026,17049.078785899503,1,4,37127.008936909035,5,101.4,7.377871,27.272727,2.404157,5,0,0,0.0,0.0,3028.851365110026,17024.184934295776,1,4,1070.7105323399585,62392.0,144060.0,-14020.227420789477,SHORT,3028.851365110026,4262.269696474876,0.0,0.00146,0.17765484007353216,0.7,17179902798.0,4e-06,8e-06,3.192822443168012,0.3373418597235294,0.3192822443168012,none,none
IREN,77032.80030224269,179301.11425769975,1,2,435635.0288176422,3,44.333333,8.108386,0.428132,11.948513,3,0,1,0.0,29278.264750750415,77032.80030224269,150022.84950694934,1,2,6.439563657994395,79268.0,188120.5,-102268.31395545707,SHORT,77032.80030224269,89650.55712884988,0.0,0.163291,0.42962811815841606,1.0,12443900343.0,6e-06,1.5e-05,3.088835663817933,0.5252264742110719,0.3088835663817933,none,none
KOD,2939.5524544744217,0.0,1,0,2939.5524544744217,1,84.0,5.578947,5.578947,,1,0,0,0.0,0.0,2939.5524544744217,0.0,1,0,0.0,75000.0,0.0,2939.5524544744217,LONG,2939.5524544744217,0.0,0.0,0.0,99.0,1.0,2109205497.0,3.6e-05,0.0,3.088757833933558,0.05,0.3088757833933558,none,not_extended
COHR,73934.35585382907,7458.3592909872705,3,1,113995.28550703269,4,56.25,1.578643,0.341877,4.052174,4,0,0,0.0,0.0,44984.6137223573,7458.3592909872705,3,1,5.08876004142057,181320.0,186945.0,66475.9965628418,LONG,24644.78528460969,7458.3592909872705,0.39156,0.0,9.912951759131774,1.0,45612459773.0,4e-06,4e-06,3.030624177397088,0.35696993068071325,0.3030624177397088,none,none
SNOW,24.953518966987158,358209.43361139315,6,4,423117.65194470715,10,68.1,1.295354,0.1393,3.029434,10,2,2,0.7868883176805581,257280.27247449168,23.82856598396653,192397.34572481003,6,4,289207.85022734274,479020.5,575316.0,-358184.4800924262,SHORT,4.158919827831193,89552.35840284829,0.045082,0.462891,6.966181408292617e-05,1.0,56117481000.0,9e-06,1e-05,2.995602984290937,0.5694824858397222,0.2995602984290937,none,none
NBIS,18601.569363423318,84310.85723074037,1,4,119017.38383277965,5,70.2,0.465741,0.816077,0.378156,5,0,0,0.0,0.0,18601.569363423318,34123.8801076502,1,4,3.3371026759041538,253750.0,722715.0,-65709.28786731705,SHORT,18601.569363423318,21077.71430768509,0.0,0.595261,0.22063077015709723,1.0,21199820508.0,1.2e-05,3.4e-05,2.9021345648822834,0.41733191457215685,0.2902134564882283,none,none
