ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
DPST,0.032846095799311754,1.8333478263866094e-05,1,1,0.06572885855515125,2,37.5,57.0,57.0,,2,0,1,0.0,1.8333478263866094e-05,0.032846095799311754,1.8333478263866094e-05,1,1,1791.591062348978,33060.0,95275.0,0.032827762321047886,LONG,0.032846095799311754,1.8333478263866094e-05,0.0,0.0,99.0,1.0,507726375.0,6.5e-05,0.000188,6.469251434753956e-07,3.6108973586148824e-10,0.5096059793271805,4.425,0.4425,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
UPRO,0.06897722324040728,0.09235043912835006,3,6,0.3222987819220181,9,42.888889,5.144692,4.136898,5.54781,9,3,3,0.06897722324040728,0.09176834718791738,0.06884854144654591,0.09175079519304061,3,6,3855.5470532417785,175897.0,343308.0,-0.023373215887942778,SHORT,0.02299240774680243,0.01539173985472501,0.001866,0.006493,0.7469073660228261,1.0,113.3446,0.0,0.0,0.0,0.0,0.39416666666666667,4.341666666666667,0.43416666666666665,none,not_extended
LAES,6.875455952218591e-19,4.096169618406077e-31,1,1,1.3750911904445374e-18,2,41.0,1.308228,1.97288,0.643576,2,0,0,0.0,0.0,6.875455952218591e-19,4.096169618406077e-31,1,1,1678508605045.0237,30000.0,37500.0,6.875455952214494e-19,LONG,6.875455952218591e-19,4.096169618406077e-31,0.0,0.0,99.0,1.0,409863776.0,7.3e-05,9.1e-05,1.6774978309423937e-23,9.993978141669384e-36,0.46530399116675464,4.217658514172656,0.4217658514172656,none,none
DVN,96598.96785270679,0.6041019646517634,2,2,96600.19453160933,4,75.5,1.734804,1.176355,2.293252,4,0,1,0.0,0.6022177840228771,96598.94749355291,0.6022177840228771,2,2,2267476.7513513085,463172.0,990040.0,96598.36375074214,LONG,48299.483926353394,0.3020509823258817,0.0,0.003119,99.0,1.0,29307400000.0,1.6e-05,3.4e-05,0.01648030324298757,1.0306304289219845e-07,0.2888387245758543,4.168830005955876,0.4168830005955876,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned"
WDC,13515.582556551546,99597.70159421412,6,4,122416.17569555515,10,61.7,9.650985,12.978238,4.660104,10,1,0,5732.5566862396045,0.0,7777.437104565096,56467.10387112628,6,4,41.03138470102798,587715.0,738496.0,-86082.11903766257,SHORT,2252.597092758591,24899.42539855353,0.424558,0.433048,0.13570175154861908,1.0,118717518768.0,5e-06,6e-06,0.0001897442867855635,0.0020973674026335113,0.4465619147678302,4.114702026027878,0.41147020260278777,none,none
NNE,6104.15660222224,6852.340695539129,1,1,19808.837993300498,2,95.0,4.281915,4.904255,3.659574,2,0,0,0.0,0.0,6104.15660222224,6852.340695539129,1,1,0.44540667732677414,65600.0,81284.5,-748.1840933168896,SHORT,6104.15660222224,6852.340695539129,0.0,0.0,0.8908133546535483,0.7,1139050705.0,5.8e-05,7.1e-05,0.05358985842708591,0.06015834646745712,0.37930005310490666,4.105611993314625,0.41056119933146246,none,none
SMR,109010.80216571414,69853.23234594292,8,2,178864.03451165705,10,59.9,2.98641,3.616889,0.464494,10,0,0,0.0,0.0,77832.7866653984,69853.22582880913,8,2,89978.33502988481,1265714.0,187033.0,39157.56981977122,LONG,13626.350270714267,34926.61617297146,0.286008,0.0,1.5605691892086866,1.0,3052218110.0,0.000415,6.1e-05,0.04464409088613352,0.11443027632442512,0.7011105816771377,4.026712591112587,0.40267125911125873,none,none
SOXL,74967.5570960802,48726.308823077154,1,2,168540.7578994037,3,31.666667,8.119074,0.198077,12.079572,3,0,2,0.0,48726.308823077154,74967.5570960802,44846.89198024633,1,2,42.44486935217276,690000.0,104081.5,26241.248273003046,LONG,74967.5570960802,24363.154411538577,0.0,0.079616,1.5385437334948506,1.0,13332684834.0,5.2e-05,8e-06,0.05622840262818155,0.01827325457315957,0.34819782699275703,3.9776876341393894,0.39776876341393896,none,none
B,0.0031550613842344774,114916.99315101426,10,8,229833.98945708992,18,66.777778,1.144984,0.829383,1.539485,18,1,2,4.452407405805918e-22,110598.214716216,0.003056047974635286,110598.214716216,10,8,93186153833697.4,2442819.0,793885.5,-114916.98999595288,SHORT,0.00031550613842344774,14364.624143876783,0.031382,0.037582,2.7455133463928703e-08,1.0,72074004193.0,3.4e-05,1.1e-05,4.377530317013946e-11,0.001993038170241124,0.4357175272622542,3.952494619501934,0.3952494619501934,none,none
ASML,37224.17388875653,1200108.862361344,11,7,1252841.202541049,18,47.166667,2.038978,1.837729,2.355225,18,3,0,9296.44320591205,0.0,17300.378939575112,1134167.6216747584,11,7,30053.115959059476,4969233.0,3460990.0,-1162884.6884725876,SHORT,3384.0158080687756,171444.12319447772,0.535238,0.054946,0.031017331057379194,1.0,578203581033.0,9e-06,6e-06,5.852637235526977e-05,0.002965116938365915,0.47674580033385566,3.8899455974564487,0.3889945597456449,none,none
HD,2.47751030083419,9.965535545622059e-05,6,8,2.477709611736639,14,61.142857,1.308673,0.337659,2.036933,14,0,1,0.0,5.981323388576927e-06,2.3847898470728595,9.367403089080804e-05,6,8,1052755104012.5648,543409.0,1228591.0,2.477410645478734,LONG,0.41291838347236504,1.2456919432027574e-05,0.037425,0.06002,99.0,1.0,339799271741.0,2e-06,4e-06,1.215183250266344e-08,3.6659641347090407e-13,0.25027188544337803,3.8876012907870594,0.38876012907870594,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned"
BKNG,5.232049959878403e-13,87891.03204554347,2,3,87891.03204554347,5,56.4,5.962963,3.333333,7.277778,5,0,1,0.0,87891.03204553953,5.231956201920952e-13,87891.03204553953,2,3,4.6735733475083734e+21,66924.5,850270.0,-87891.03204554347,SHORT,2.6160249799392015e-13,29297.010681847823,1.8e-05,0.0,5.952882607143871e-18,1.0,140352514463.0,0.0,6e-06,1.8638960548361553e-20,0.002087387660558882,0.3433333333333333,3.868477264123116,0.38684772641231163,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
XLV,49566.34149051728,37229.16308555575,1,3,124022.967035209,4,50.75,15.639969,1.062593,20.499095,4,0,2,0.0,37229.16253134561,49566.34149051728,37227.46245913597,1,3,72926.81388799688,51921.0,221625.0,12337.17840496153,LONG,49566.34149051728,12409.721028518585,0.0,4.6e-05,1.331384790375482,1.0,148.024171,0.0,0.0,0.0,0.0,0.21375558,3.8166666666666664,0.38166666666666665,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
IYR,1.4740416264410743e-20,4.557199587802173e-20,1,1,7.505282840684322e-20,2,86.0,0.52649,0.337018,0.715961,2,0,0,0.0,0.0,1.4740416264410743e-20,4.557199587802173e-20,1,1,1.5458178066534913,254400.0,621526.0,-3.0831579613610985e-20,SHORT,1.4740416264410743e-20,4.557199587802173e-20,0.0,0.0,0.32345338360569126,1.0,4097419763.0,6.2e-05,0.000152,3.597487471876272e-26,1.1122120386478384e-25,0.2898769770131773,3.7994309828831794,0.37994309828831796,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
SPXL,142776.0409245457,0.002944777019021059,1,1,142776.04681409974,2,65.5,2.845833,0.391667,5.3,2,0,1,0.0,0.002944777019021059,142776.0409245457,0.002944777019021059,1,1,24242249.922883663,147490.0,59095.0,142776.03797976868,LONG,142776.0409245457,0.002944777019021059,0.0,0.0,99.0,1.0,5300590716.0,2.8e-05,1.1e-05,0.2693587348549129,5.555563854670305e-09,0.3541587961446203,3.770470286168601,0.37704702861686007,none,none
CIFR,1002458.2714523324,15827.902136483377,4,2,1095227.3710081095,6,47.333333,43.007844,0.534494,127.954545,6,0,0,0.0,0.0,387081.46181995876,8922.01054148746,4,2,1.6155478857357262,1151015.5,151812.5,986630.369315849,LONG,250614.5678630831,7913.9510682416885,0.613868,0.436311,63.334879304166414,1.0,7194920668.0,0.00016,2.1e-05,0.34832151656336113,0.010999358343782212,0.5588525152933919,3.757038682722251,0.37570386827222507,none,none
LUNR,76985.4071450313,8866.82913517263,3,3,94719.06541537658,6,54.333333,1.471976,2.538089,0.405864,6,0,1,0.0,4354.366966134182,58476.50848712996,4512.402989385299,3,3,4.674108130042718,349540.0,167237.0,68118.57800985867,LONG,25661.802381677102,2955.60971172421,0.240421,0.491092,8.682405623409192,1.0,3890284360.0,9e-05,4.3e-05,0.06596382168237465,0.007597413037755959,0.5922705962352699,3.753101422523999,0.3753101422523999,none,none
SQQQ,32564.428605120378,23960.388745889697,1,3,113049.63470202015,4,57.75,4.506579,0.094519,5.977266,4,0,1,0.0,8.810585775624856,32564.428605120378,20675.075082552637,1,3,16.205303098394253,33993.0,450905.0,8604.039859230681,LONG,32564.428605120378,7986.796248629899,0.0,0.137114,1.3590943348407345,1.0,65.5201,0.0,0.0,0.0,0.0,0.18,3.7181766666666674,0.3718176666666667,none,not_extended
WYNN,1934.406193336628,0.005775371429869504,1,4,3868.818162044686,5,55.2,0.309508,0.307292,0.310062,5,1,3,1934.406193336628,0.005775370772422667,1934.406193336628,0.005775370756782628,1,4,247366282346718.66,32256.0,401309.0,1934.4004179651981,LONG,1934.406193336628,0.001443842857467376,0.0,0.0,99.0,1.0,10747435970.0,3e-06,3.7e-05,0.0017998769183052204,1.3434300622936172e-09,0.19967526412658085,3.690565774043415,0.3690565774043415,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
