snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-21,MP,375978.46,5434,1,0,5434,0,1.0,375978.46,0.0,—
2026-04-21,SPY,369813.6,520,1,0,520,0,1.0,369813.6,0.0,—
2026-04-21,V,368567.36,1184,1,0,0,0,0.0,368567.36,0.0,—
2026-04-21,TRUP,361338.74,13202,1,0,0,0,0.0,361338.74,0.0,—
2026-04-21,PANW,346092.0,1910,1,0,1910,0,1.0,346092.0,0.0,—
2026-04-21,XLE,339240.0,6000,1,0,0,0,0.0,339240.0,0.0,—
2026-04-21,CHWY,336945.44,12461,1,0,0,0,0.0,336945.44,0.0,—
2026-04-21,DASH,335923.61,1843,1,0,0,0,0.0,335923.61,0.0,—
2026-04-21,MKC,323334.54,6282,1,0,0,6282,0.0,323334.54,0.0,—
2026-04-21,SLB,313001.65,5759,1,0,0,0,0.0,313001.65,0.0,—
2026-04-21,CIEN,305369.64,612,1,0,0,0,0.0,305369.64,0.0,—
2026-04-21,FRPT,292664.52,4437,1,0,0,0,0.0,292664.52,0.0,—
2026-04-21,CRCL,287929.24,2759,1,0,0,2759,0.0,287929.24,0.0,—
2026-04-21,B,286698.47,7039,1,0,0,0,0.0,286698.47,0.0,—
2026-04-21,UUUU,286314.76,12652,1,0,0,0,0.0,286314.76,0.0,—
2026-04-21,RBLX,286212.36,4799,1,0,0,0,0.0,286212.36,0.0,—
2026-04-21,TEM,282601.41,5091,1,0,0,5091,0.0,282601.41,0.0,—
2026-04-21,HOOD,282204.0,3200,2,0,0,1200,0.0,176388.0,0.0,—
2026-04-21,NBIS,280427.44,1796,1,0,0,1796,0.0,280427.44,0.0,—
2026-04-21,MCHP,280267.04,3398,1,0,0,3398,0.0,280267.04,0.0,—
2026-04-21,CEG,271079.04,944,1,0,944,0,1.0,271079.04,0.0,—
2026-04-21,DE,268535.37,463,1,0,0,0,0.0,268535.37,0.0,—
2026-04-21,MRCY,264930.27,3207,1,0,0,0,0.0,264930.27,0.0,—
2026-04-21,RDW,256292.19,21483,1,0,21483,0,1.0,256292.19,0.0,—
2026-04-21,NOC,252946.98,429,1,0,0,0,0.0,252946.98,83741517115.0,Industrials
2026-04-21,MRVL,252896.0,1600,1,0,0,0,0.0,252896.0,0.0,—
2026-04-21,BKSY,249977.68,6148,1,0,0,0,0.0,249977.68,0.0,—
2026-04-21,IONQ,249066.24,5259,1,0,0,0,0.0,249066.24,0.0,—
2026-04-21,UBER,246164.06,3257,1,0,0,0,0.0,246164.06,0.0,—
2026-04-21,SYNA,243736.14,2879,1,0,0,0,0.0,243736.14,0.0,—
2026-04-21,AIRR,243189.9,1962,1,0,0,0,0.0,243189.9,0.0,—
2026-04-21,COIN,240682.08,1167,1,0,1167,0,1.0,240682.08,0.0,—
2026-04-21,QBTS,238992.48,11252,1,0,0,0,0.0,238992.48,0.0,—
2026-04-21,COHR,237618.66,678,1,0,0,0,0.0,237618.66,0.0,—
