as_of,ticker,direction,conviction_grade,conviction_score,sector,bullish_premium_share,unusual_premium_share,vrp_proxy,far_otm_call_share,far_otm_put_share,dollar_delta_weighted_flow,sector_relative_pct,prem_momentum_z3d,realized_vol_regime,aggressor_bull_share,aggressor_net_prem_bps,ask_side_ratio,directional_sweep_share,gex_total,vanna_total,charm_total,iv_skew_25d,atm_iv_30d,atm_iv_60d,atm_iv_90d,term_slope_30_90,expiry_concentration_top1,max_pain_dist_pct,dealer_net_delta_at_spot,dealer_net_gamma_at_spot,perc_3_day_total_latest,momentum_composite,momentum_score,ret_5d,ret_21d,ret_63d,ret_126d,dist_52w_high,px_vs_sma50,px_vs_sma200,rsi_14,bollinger_z,rel_volume,atr_pct,gap_pct,beta_63d,resid_mom_21d,rel_strength_spy_63d,rel_strength_sector_63d,rel_vol_3d_20d,rel_vol_5d_20d,vol_trend_10d,up_down_vol_ratio_10d,setup_price_score,setup_trend,setup_extension,setup_room,setup_pattern_pts,setup_momentum,setup_confirm_vol,setup_extended,setup_ext_cap_atr,setup_state_rank,setup_is_breakout,setup_is_pullback,setup_is_trend_cont,setup_is_reversal,setup_pattern,setup_family
2026-05-27,MDB,BEARISH,B+,6.5,Technology,0.47159978700771327,0.2780854682236146,49.056603773584904,0.3984095051012397,0.11698807234376099,609396.1581549235,0.01578983500766603,8.883149,0.8388387434067583,0.44300975,-0.2289429,0.21232299,0.17248125,14099.040500000001,2237374.6445,-3098798.7804,,0.982,0.827,0.777,-0.2087576374745417,0.5111873302334147,0.09536951855259129,,,,0.562698,56.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,TE,BULLISH,B+,6.5,Industrials,0.5652479890281908,,-95.62641509433963,,,,,2.527977,1.4911674947755762,0.7061587,1.54614061,0.73308064,0.15513444,1418389.8627000002,3460939.1012,-8485607.5087,,1.833,1.703,1.663,-0.09274413529732675,0.28748727545679825,0.19642857142857137,434870.92818,1994653.25,,0.6,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,DELL,BULLISH,B+,6.1,,0.5198463495752796,0.0,19.45471698113208,1.0,0.0,70528.54999999999,,-0.107011,1.1691008949919055,0.40075496,-0.14569281,0.61185983,0.07377977,35956.5639,2425860.5686999997,2018856.3742,,0.816,0.75,0.737,-0.09681372549019604,0.5697536515334359,0.17351541741333504,3277252.59888,35979638.62,,0.300298,30.0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,AOSL,BULLISH,B+,6.0,Technology,0.5358840016431962,,-24.7132075471698,0.5174323671182057,0.0,-24255.99609028067,-0.12425913636467661,1.12618,0.8329844497282904,0.47553982,0.47850195,0.72560243,0.0,20001.5723,158416.9894,-117489.2225,,1.141,1.096,1.111,-0.02629272567922877,0.6685214626391097,0.39166582175808573,,,,0.420899,42.0899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,BRKR,BULLISH,B+,6.0,Healthcare,0.8673633228149996,,-41.74528301886792,0.1752541184717841,0.0,-13290.86793727597,,20.645917,0.2935342481892247,0.0,-0.06588797,1.0,0.0,11594.3318,85032.7741,-24616.6021,,0.55,0.565,0.586,0.06545454545454531,0.5362000877577885,0.250164026619177,,,,0.575,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,HUT,BEARISH,B+,6.0,Financial Services,0.4923950922979907,0.7791769313866287,-50.00566037735849,0.3807813180393049,0.1320033668892011,1619519.2264013067,,1.635523,0.35636743025174783,0.47117084,-0.20591348,0.59468339,-0.05413747,69840.3171,1655815.8565,-245803.56949999975,,0.95,0.959,0.983,0.03473684210526319,0.3275736484299126,0.1451284304717773,1293309.67,15116884.21,,0.539881,53.9881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,RDDT,BULLISH,B,5.9,Communication Services,0.5215707289977484,1.0,-50.10566037735849,0.5003848685048066,0.04157035118049667,289520.3499557159,,-0.400033,1.2156079894681409,0.72106215,1.31406583,0.84110115,0.21598317,79676.71710000001,8425079.8334,-2667176.1035,,0.699,0.692,0.74,0.05865522174535056,0.3920374392619629,0.11158493248045481,5165782.59009,25734362.01,,0.60119,60.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,BRZE,BEARISH,B,5.6,Technology,0.41132394005883427,,45.19245283018868,0.5591247266296708,0.11368456115996219,139248.039557982,-0.3615643378567016,1.315604,0.7737740143334902,0.4428674,-0.164401,0.5843751,0.03707967,66180.09180000001,989079.5655,-387412.5977,,0.79,0.75,0.751,-0.04936708860759498,0.46253054575074665,-0.08295429932856829,,,,0.575,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,KSS,BEARISH,B,5.6,Consumer Cyclical,0.4918139473886691,,-41.57735849056604,0.15937452248764836,0.04735533401554896,-56456.58354164241,,2.749555,0.7949475492239828,0.59916513,0.80991134,0.81554169,0.006133,264383.5984,2771387.3378,337932.41599999997,,0.215,0.224,0.227,0.05581395348837214,0.42467979975294196,0.14445541296479106,,,,0.32619,32.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,ARM,BULLISH,B,5.4,Technology,0.50653511323203,1.0,-6.613207547169807,0.5514170297379335,0.0,-115334.50687427673,-0.4231218105677476,-0.077251,1.3109592284733302,0.76646726,0.21109737,0.58032304,0.20649373,27442.869899999998,4259166.7817,4596640.638,,0.962,0.944,0.962,0.0,0.41519488208875477,0.14770268722786578,5479821.89872,47929863.55,,0.349868,34.9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
